YEAR,MN,HR,DT,SLP,MSLP,DBT,WBT,DPT,RH,VP,DD,FFF,AW
2002,1,48,7,933.8,1010.1,26.8,21.8,19.3,64,22.4,14,4,5
2002,1,48,8,934.1,1010.7,25.2,20.4,17.9,64,20.5,14,4,6
2002,1,48,9,936.1,1014.4,20,18.6,17.8,87,20.4,5,4,8
2002,1,48,10,935.8,1012.8,24.8,19.8,17.1,62,19.5,5,4,5
2002,1,48,11,934,1010.8,25,19.2,15.9,57,18.1,5,4,7
2002,1,48,12,933.4,1009.8,26,18,12.8,49,14.8,14,4,5
2002,1,48,13,932.3,1008.9,24.6,19.4,16.5,61,18.8,14,4,7
2002,1,48,14,931.3,1007.5,25.6,21,18.7,65,21.6,14,4,4
2002,1,48,15,932.4,1008.8,26.6,17.6,11.5,39,13.6,14,4,6
2002,1,48,16,931.4,1007.4,26.6,19.6,15.6,51,17.7,14,4,4
2002,1,48,17,931,1006.4,29,19.6,13.9,40,15.9,14,4,4
2002,1,48,18,929.9,1005.6,27.6,18.8,13.3,41,15.3,5,4,7
2002,1,48,19,930.2,1005.4,29.8,20.2,14.6,40,16.6,14,6,9
2002,1,48,20,931.8,1007.9,27,21,17.9,57,20.5,14,2,2
2002,1,48,21,930.8,1006.5,27.6,21,17.5,54,20.8,14,4,8
2002,1,48,22,931.1,1006.3,29.4,22,18.3,51,21,14,4,10
2002,1,48,23,931.7,1006.8,30.4,21.6,17,45,19.4,14,4,6
2002,1,48,24,931.8,1006.6,32,21.6,16,38,18.2,9,4,5
2002,1,48,25,931.4,1006.3,30.2,21.8,17.5,46,20.8,9,4,4
2002,1,48,26,930.7,1005.9,30,20.8,15.7,42,17.8,14,4,3
2002,1,48,27,930.5,1005.7,29.6,21.2,16.7,46,19,14,4,4
2002,1,48,28,931.7,1007.3,28.2,21.8,18.2,56,20.9,14,4,7
2002,1,48,29,932.3,1007.6,30,19.8,13.7,37,15.7,14,4,0
2002,1,48,30,933.3,1009.4,26.8,19.4,15.1,47,17.1,14,6,11
2002,1,48,31,934.2,1010.8,25.6,20.6,18,63,20.6,14,4,9
2002,2,12,1,937.5,1015.4,21.2,19.6,18.8,86,21.7,14,4,3
2002,2,12,2,937.4,1015.3,20.4,18.2,16.9,81,19.2,14,6,5
2002,2,12,3,938.2,1016.1,21.2,17.6,15.4,69,17.5,5,4,2
2002,2,12,4,937.1,1015,21.8,16.2,12.3,55,14.3,18,4,5
2002,2,12,5,936.8,1015.6,19.6,17.2,15.9,78,18.1,14,4,3
2002,2,12,6,936.2,1014.5,19.4,17.8,16.9,85,19.2,14,4,4
2002,2,12,7,934.8,1013,19.6,18,17.1,85,19.5,14,2,7
2002,2,12,8,934.8,1012.4,22,20,19,83,22.5,18,2,5
2002,2,12,9,935.5,1013.3,21,18.2,16.6,76,18.9,14,4,5
2002,2,12,10,936.1,1013.9,20.2,17.8,16.4,79,18.6,14,4,2
2002,2,12,11,935.8,1014.4,18.6,17.2,16.4,87,18.6,14,4,3
2002,2,12,12,936,1013.8,20.8,19,18,84,20.6,14,6,6
2002,2,12,13,937.3,1016.2,17.2,15,13.5,79,15.5,18,4,2
2002,2,12,14,937.4,1016.1,19,17.6,16.8,87,19.1,14,4,3
2002,2,12,15,937.8,1016.5,18.6,17.5,17,91,19.4,18,2,3
2002,2,12,16,936.9,1015.2,19.6,16,13.6,68,15.6,14,2,4
2002,2,12,17,938.1,1016,20.6,18.2,16.8,79,19.1,14,4,4
2002,2,12,18,938.6,1018,16.8,15.6,14.8,88,16.8,14,4,7
2002,2,12,19,939.8,1018.7,18.8,14.6,11.5,63,13.6,14,2,4
2002,2,12,20,939.2,1018.1,18.8,17.6,16.9,89,19.2,14,2,3
2002,2,12,21,938.4,1016.3,20.4,14.8,10.6,53,12.8,18,2,4
2002,2,12,22,940.2,1019.4,18,16.6,15.7,87,17.8,18,2,4
2002,2,12,23,939.7,1017.8,20.8,17,14.6,68,16.1,18,2,3
2002,2,12,24,937.2,1015,22,15,10.1,47,12.3,14,4,4
2002,2,12,25,936.2,1015.1,17.6,13.2,9.6,60,12,14,4,5
2002,2,12,26,936.2,1015.4,17,13,9.8,62,12.1,18,2,3
2002,2,12,27,935.7,1013.2,22.4,17,13.5,57,15.5,18,2,3
2002,2,12,28,935.1,1012.3,23.2,18.8,16.3,65,18.5,14,4,3
2002,2,48,1,935.3,1011.9,25.2,20.2,17.5,62,20.8,5,4,11
2002,2,48,2,935.2,1012.4,23.2,18.8,16.3,65,18.5,14,4,4
2002,2,48,3,934.7,1011,26.2,20.2,16.2,57,18.4,14,4,3
2002,2,48,4,933.5,1010.1,26,19.6,16,54,18.2,18,4,8
2002,2,48,5,933.6,1009.9,27,20,16.1,51,18.3,14,2,5
2002,2,48,6,932.1,1007.9,27.4,19,13.8,43,15.8,14,4,4
2002,2,48,7,931.4,1007.2,28,20,15.4,46,17.5,14,4,8
2002,2,48,8,931.9,1007.7,27.6,21.4,18.2,57,20.9,14,4,8
2002,2,48,9,932.7,1008.8,26.8,18.6,13.5,44,15.5,14,4,8
2002,2,48,10,930.5,1007.9,28.4,19.8,14.8,43,16.8,14,4,7
2002,2,48,11,933.3,1008.9,28.8,21.2,17.2,49,19.6,14,4,6
2002,2,48,12,934.1,1010.1,27.6,23,20.9,67,24.7,14,4,8
2002,2,48,13,934.7,1011,27,18,12,39,14.2,14,4,12
2002,2,48,14,934.7,1010.5,29,22.6,19.5,57,22.7,14,6,  
2002,2,48,15,934.8,1010,30.2,23.6,20.6,57,24.3,14,4,7
2002,2,48,16,933.3,1008.1,31.2,24.6,21.8,57,26.1,14,4,6
2002,2,48,17,934.9,1010.7,29,24,21.8,65,26.1,14,4,9
2002,2,48,18,936.1,1011.5,30.2,24.2,21.6,60,21.8,14,4,7
2002,2,48,19,936.3,1011.5,32,22.6,17.9,43,20.5,14,4,4
2002,2,48,20,935.3,1010.3,31.6,21.6,16.2,40,18.4,14,4,5
2002,2,48,21,935.6,1011,31,22.6,18.5,47,21.3,14,4,8
2002,2,48,22,936.3,1012,30,24,21.4,60,25.5,14,4,12
2002,2,48,23,936.2,1011.6,30.6,21.6,16.5,43,18.8,14,4,7
2002,2,48,24,934,1009.5,30,16.6,5.7,22,9.2,14,4,11
2002,2,48,25,933.5,1008.7,31,17,5.7,20,9.2,9,6,9
2002,2,48,26,932.5,1007.3,31.6,18.2,8.5,24,11.1,14,4,12
2002,2,48,27,932,1006.8,31.8,21.6,15.5,39,17.6,14,4,6
2002,2,48,28,931,1005.7,32,22.6,17.9,43,20.5,14,6,8
2002,3,12,1,935.1,1012.3,23.4,18.6,15.8,62,17.9,18,2,5
2002,3,12,2,935.1,1012.9,21.4,16.2,12.6,57,14.6,18,4,6
2002,3,12,3,933.8,1011.4,21.8,18,15.7,68,17.8,18,4,5
2002,3,12,4,933.5,1010.6,24,19.6,17.2,66,19.6,18,6,4
2002,3,12,5,934.2,1011,24.2,19.4,16.7,64,19,14,4,3
2002,3,12,6,934.6,1011.9,22.6,17.8,14.8,62,16.8,18,4,4
2002,3,12,7,934.6,1012.2,21,17.6,15.5,71,17.6,9,4,5
2002,3,12,8,933.8,1011.1,23,21,20,83,23.4,14,4,8
2002,3,12,9,935.7,1013.5,22,20,19,83,22,18,4,8
2002,3,12,10,936.7,1014.2,22.2,19.2,17.5,75,19.9,18,4,6
2002,3,12,11,936.2,1013.2,25,20.8,18.6,68,21.4,18,4,4
2002,3,12,12,935.1,1012.3,23.4,20,18.2,73,20.9,18,4,4
2002,3,12,13,936.2,1014,20.4,18.6,17.6,84,20.1,9,4,3
2002,3,12,14,936.3,1014.1,21.4,18.4,16.7,74,19,18,4,4
2002,3,12,15,935,1012.8,22,18.6,16.6,72,18.9,18,4,5
2002,3,12,16,934,1011.1,24,20,17.9,69,20.5,18,2,5
2002,3,12,17,934.1,1011.4,22.6,19.2,18,75,20.6,18,4,4
2002,3,12,18,935.7,1013.5,21.8,19,17.4,82,19.9,18,2,6
2002,3,12,19,936.8,1014,23.4,17,12.7,51,14.7,18,4,4
2002,3,12,20,935.8,1013.6,22,17,13.7,59,15.7,9,4,3
2002,3,12,21,934.3,1011.6,22.4,18.6,16.4,69,18.6,18,4,3
2002,3,12,22,932.8,1009.2,25.6,20.6,18,63,20.6,32,4,5
2002,3,12,23,932.2,1009.4,22.4,20.6,19.7,85,22.9,14,4,6
2002,3,12,24,930.8,1007,26,21,18.4,65,21.5,14,4,4
2002,3,12,25,930.4,1006.9,25,20.6,18.3,66,21,9,4,5
2002,3,12,26,930.4,1006.9,24.4,22.6,21.8,85,26,14,4,4
2002,3,12,27,932,1009.2,23,20,18.4,75,21.2,18,4,8
2002,3,12,28,932,1008.1,26.4,23,19.9,67,23,14,4,7
2002,3,12,29,933.1,1009.5,26.4,21.2,18.5,62,21.3,14,4,6
2002,3,12,30,933.2,1010,24.6,21.6,20.1,76,23.5,18,4,8
2002,3,12,31,933.3,1009.7,25.6,22,20.3,72,23.8,18,4,8
2002,3,48,1,931.3,1005.7,32.8,22.6,17.4,40,19.9,14,6,8
2002,3,48,2,931.2,1005.6,32.6,23.2,18.7,44,21.6,14,4,7
2002,3,48,3,929.9,1004.1,33.6,23.4,18.5,41,21.3,9,4,8
2002,3,48,4,929.8,1004.5,32,23,18.6,45,21.4,14,4,10
2002,3,48,5,931,1005.4,33,24,19.9,46,23.8,14,4,8
2002,3,48,6,931.4,1005.3,33.2,24,19.8,45,23,14,4,9
2002,3,48,7,930.6,1004.8,34,23.2,17.9,39,20.5,9,4,6
2002,3,48,8,930.8,1005.5,31.6,21.4,15.8,39,17.9,14,4,9
2002,3,48,9,932.7,1007.8,31,23.4,19.9,51,23.3,14,4,11
2002,3,48,10,933.3,1008.4,30.8,21.6,16.6,42,18.8,14,4,9
2002,3,48,11,931.7,1006,34,24,19.4,42,22.5,9,4,8
2002,3,48,12,931.4,1005.6,33.2,23.6,19.1,43,22.1,9,4,10
2002,3,48,13,932.8,1007.4,32.6,30,18.3,43,21,14,4,10
2002,3,48,14,931.8,1006.6,31.2,18.8,10.4,28,12.6,18,4,8
2002,3,48,15,930.8,1006.5,32.8,20.6,13.3,31,15.3,14,4,7
2002,3,48,16,930.6,1005,32.8,22,16.3,37,18.5,9,4,8
2002,3,48,17,930.8,1005.5,31.6,20.2,15.4,38,17.5,14,4,11
2002,3,48,18,933,1007.5,32,22,16.8,40,19.1,14,4,9
2002,3,48,19,933.2,1007.8,32.2,21.8,16.3,38,18.5,14,4,9
2002,3,48,20,931.4,1006.1,32,22,16.8,40,19.1,9,4,8
2002,3,48,21,929.7,1003.9,33.6,22.8,17.9,42,20.5,18,4,6
2002,3,48,22,928.2,1002.2,34.6,23.8,18.7,39,21.6,5,4,8
2002,3,48,23,927.8,1001.5,35,24,18.8,39,21.7,5,4,5
2002,3,48,24,926.3,999.7,36,22,14.2,27,16.2,5,4,6
2002,3,48,25,925.8,999.2,35.8,22,14.3,28,16.3,9,4,4
2002,3,48,26,927.2,1000.8,35,20,10.1,22,12.3,14,4,14
2002,3,48,27,928,1001.5,36,21.6,13.3,22,15.3,14,4,8
2002,3,48,28,928.2,1002.2,34,22.6,16.7,36,19,14,6,8
2002,3,48,29,928.7,1002.4,35,23,16.9,34,19.2,14,4,5
2002,3,48,30,929.8,1002.8,35,22,14.8,30,16.8,14,4,8
2002,3,48,31,929.9,1002.9,34.6,22.6,16.4,34,18.6,14,4,5
2002,4,12,1,936,1013.2,23.6,20.6,19.6,76,22.1,18,4,7
2002,4,12,2,935.4,1011.6,27.4,22.6,20.3,65,23.8,23,4,6
2002,4,12,3,932.6,1008.4,27.4,22.4,20,64,23.4,9,4,4
2002,4,12,4,931.1,1007.2,27,22.4,20.2,66,23.7,14,4,7
2002,4,12,5,932.4,1009.6,22.4,19.6,18.1,77,20.8,23,4,6
2002,4,12,6,933.5,1010.3,25,21,19,69,22,23,4,2
2002,4,12,7,934.2,1011.7,26.2,21.6,19.3,66,22.4,23,4,6
2002,4,12,8,933.5,1009.9,26.8,20.6,17.3,56,19.7,14,4,7
2002,4,12,9,933.1,1009.1,28,20,15.4,46,17.5,23,4,5
2002,4,12,10,931.2,1007.3,27,23,21.2,71,25.2,18,4,5
2002,4,12,11,931.4,1007.5,27,21,17.9,57,20.5,14,4,8
2002,4,12,12,933.8,1010.1,27,23,21.2,71,25.2,18,4,5
2002,4,12,13,934.3,1010.6,26,22.6,21,74,25.1,14,4,6
2002,4,12,14,933.1,1009.2,26.6,22.2,20.1,68,23.5,23,4,7
2002,4,12,15,933.1,1009.4,26.4,23,21.5,74,25.6,14,4,7
2002,4,12,16,933.2,1009.5,26.2,22,20,69,23.4,23,4,7
2002,4,12,17,933.9,1009.3,25.8,22,20.2,71,23.7,14,4,6
2002,4,12,18,931.2,1007,27.4,21.4,18.3,58,21,23,4,5
2002,4,12,19,932.4,1008.5,27,22.2,19.9,65,23,14,4,4
2002,4,12,20,933.5,1009.3,27.8,22.2,19.5,61,22.7,14,4,8
2002,4,12,21,932.3,1008.1,27.2,21.6,18.8,60,21.7,14,4,6
2002,4,12,22,932.2,1008,27.4,21.8,19,60,22,14,4,6
2002,4,12,23,931.8,1007.4,29,22.2,18.9,54,21.8,14,4,4
2002,4,12,24,931.3,1007.1,27.8,21.6,18.5,57,21.3,14,4,6
2002,4,12,25,931.2,1007.3,26.6,21.6,19.1,64,22.1,14,2,5
2002,4,12,26,931.2,1007.3,27,21.6,18.9,61,21.8,14,4,7
2002,4,12,27,930.7,1006.4,28,22.4,19.7,61,22.9,18,4,7
2002,4,12,28,930.6,1006.8,26,22.4,20.7,73,24.4,14,4,6
2002,4,12,29,931.1,1006.9,28,22,19,58,22,14,4,6
2002,4,12,30,929.5,1004.9,29,22.6,19.5,57,22.7,14,4,6
2002,4,48,1,931.5,1005.3,25,22.6,16.1,33,18.3,14,4,7
2002,4,48,2,930.6,1004.5,25,23,16.9,34,19.2,23,4,8
2002,4,48,3,927.8,1001.3,25.6,24.6,19.6,39,22.8,5,4,9
2002,4,48,4,927.8,1003.6,27.2,25,24.1,83,30,27,4,7
2002,4,48,5,929.9,1005.6,27.2,24.2,22.9,78,27.9,5,4,7
2002,4,48,6,930.9,1004.8,34.8,23,17,35,19.4,14,4,7
2002,4,48,7,930.2,1004.2,34,24,19.4,42,22.5,14,4,7
2002,4,48,8,930.7,1003.7,35,23.2,17.3,35,19.7,5,4,6
2002,4,48,9,929.1,1002.8,35.2,24,18.7,38,21.6,14,4,6
2002,4,48,10,928.6,1002.1,35.2,24,18.7,38,21.6,23,4,10
2002,4,48,11,928.1,1001.6,36,24.2,24.2,36,30.2,14,4,4
2002,4,48,12,929.7,1003.6,34.4,24,19.1,41,22.1,14,4,7
2002,4,48,13,929.8,1003.5,35.6,22.6,15.7,31,17.8,23,4,6
2002,4,48,14,928.8,1002.5,34.4,25,20.9,45,24.7,14,4,6
2002,4,48,15,930,1003.4,35.6,23.6,17.7,35,20.2,9,4,8
2002,4,48,16,928.9,1002.3,36.2,24.2,18.5,36,21.3,14,4,8
2002,4,48,17,928.8,1002.1,36.2,21.6,13.1,25,15.7,14,4,10
2002,4,48,18,927.1,1000.5,35.6,23.6,17.7,35,20.2,14,4,10
2002,4,48,19,929.9,1002.5,35.2,22.2,15.5,30,17.6,14,4,9
2002,4,48,20,929.5,1003.2,35.2,23.6,18,36,20.6,14,4,8
2002,4,48,21,927.6,1000.9,36.8,24,17.7,30,20.2,14,4,7
2002,4,48,22,927.2,1000.3,36.6,23.6,17.1,32,19.5,14,4,6
2002,4,48,23,927.6,1002.1,31.6,23.4,19.6,49,22.8,14,4,8
2002,4,48,24,927,999.9,37.2,22.6,14.7,26,16.7,14,4,8
2002,4,48,25,927.1,1000.5,35.6,23.6,17.7,35,20.2,14,4,8
2002,4,48,26,926.7,999.8,36.4,22.6,15.2,28,17.3,14,4,5
2002,4,48,27,927,1000.1,36.8,24.4,18.6,34,21.4,14,4,6
2002,4,48,28,927.4,1001,35,24,18.8,39,21.7,14,4,8
2002,4,48,29,926.4,999.3,37.2,24,17.6,32,20.1,14,4,5
2002,4,48,30,925.3,998,37.6,24.8,18.9,34,21.8,5,4,6
2002,5,12,1,929.5,1005.7,25.6,22.6,21.2,77,25.2,14,4,7
2002,5,12,2,929.6,1005.3,27.4,22.8,20.7,67,24.4,14,4,6
2002,5,12,3,931.6,1007.7,27,21.6,18.9,61,21.8,18,4,5
2002,5,12,4,930.9,1006.9,27,21.6,18.9,61,21.8,14,4,7
2002,5,12,5,929.9,1005.3,28.6,21.8,18.4,54,21.1,14,4,4
2002,5,12,6,929.7,1005.4,28,22.6,20,62,23.4,27,2,6
2002,5,12,7,930.6,1005.8,30,22.6,19,52,22,27,4,5
2002,5,12,8,931.1,1006.7,29,22.2,18.9,54,21.8,23,4,6
2002,5,12,9,931.6,1006.9,30,23.6,20.7,58,24.4,27,4,3
2002,5,12,10,931.6,1007.2,28.8,22.2,19,55,22,32,4,14
2002,5,12,11,931.3,1007,27,22,19.5,63,22.7,32,6,12
2002,5,12,12,929.3,1005,27.8,21.6,18.5,57,21.3,27,4,6
2002,5,12,13,929.9,1005.3,28.4,21.2,17.4,51,19.9,32,6,8
2002,5,12,14,931,1006.8,27.4,22,19.4,62,22.5,32,6,14
2002,5,12,15,930.6,1006.3,27.4,21.8,19,60,22,32,6,6
2002,5,12,16,928.7,1004,29,21.4,17.4,50,19.9,32,4,4
2002,5,12,17,927.3,1003.4,26,22.6,21,74,24.8,32,6,11
2002,5,12,18,928.3,1004.4,26,21.6,19.4,67,22.5,32,6,9
2002,5,12,19,928.8,1004.6,26.2,21.6,19.3,66,22.4,32,6,11
2002,5,12,20,928.5,1004.3,26.2,20.8,18,61,20.6,32,6,9
2002,5,12,21,930.2,1006.2,27,20.6,17.2,55,19.6,36,4,8
2002,5,12,22,931.6,1007.4,27.4,21.6,18.7,59,21.6,32,2,3
2002,5,12,23,931.7,1007.5,28,22.6,20,62,23.4,36,2,5
2002,5,12,24,932.4,1007.7,30,22.4,18.7,51,21.6,36,4,3
2002,5,12,25,932.3,1008.1,28,23,20.7,65,24.4,32,4,4
2002,5,12,26,932,1008.1,27,20.4,16.8,54,19.1,32,4,7
2002,5,12,27,931.7,1007.5,27.4,22,19.4,62,22.5,36,4,3
2002,5,12,28,931.1,1006.9,28,22.6,20,62,23.4,32,4,8
2002,5,12,29,931.6,1007.4,27.4,23,21,68,24.9,32,4,5
2002,5,12,30,931.2,1007,27.4,23,21,68,24.9,32,4,6
2002,5,12,31,930.9,1007.1,25.4,21.6,19.7,71,22.9,27,4,5
2002,5,48,1,925.4,998.1,37.2,24,17.6,32,20.1,14,4,7
2002,5,48,2,926.4,1000.5,33,23,18.1,41,20.8,9,4,11
2002,5,48,3,926.5,1000.1,34.2,23.6,18.5,40,21.3,14,4,8
2002,5,48,4,922.7,1000.9,34,24.6,20.4,45,24,14,4,10
2002,5,48,5,925.1,998.7,34.8,24,18.9,39,21.8,14,4,6
2002,5,48,6,925.6,998.5,37.6,23.6,16.5,29,18.8,14,4,6
2002,5,48,7,925.8,998.9,36.2,24.8,19.7,38,22.9,14,4,8
2002,5,48,8,926.8,999.7,37.6,24.6,18.5,33,21.3,14,4,11
2002,5,48,9,928,1001.5,35.2,24.8,20.2,42,23.7,36,4,11
2002,5,48,10,926.6,999.7,36.6,24,17.9,33,20.5,36,4,16
2002,5,48,11,925.6,999,26,24.4,19,37,21.9,36,4,16
2002,5,48,12,925.6,999,35.6,23.6,17.7,35,20.2,32,4,16
2002,5,48,13,926.6,999.7,36.2,23.2,16.6,31,18.9,32,6,15
2002,5,48,14,926.5,999.6,36.8,23.8,17.4,32,19.9,32,6,14
2002,5,48,15,927.6,1001.9,32.6,22.6,17.6,41,20.1,32,6,11
2002,5,48,16,925.3,998.2,36.2,23.6,17.4,33,19.9,36,6,13
2002,5,48,17,925.1,999,32.6,23.8,19.7,47,22.9,32,6,12
2002,5,48,18,925.4,999.1,33.2,24,19.8,45,23.7,27,6,13
2002,5,48,19,925.3,999,33.6,23.8,19.2,43,22.2,27,6,16
2002,5,48,20,925.8,999.6,33.2,23.4,18.7,46,21.6,32,8,12
2002,5,48,21,927.1,1000.9,33.6,23.8,19.2,43,22.4,32,4,10
2002,5,48,22,928.1,1001.8,35,22,14.8,30,16.8,32,2,9
2002,5,48,23,928.1,1001.6,36,24,18.3,36,21,5,4,7
2002,5,48,24,928.3,1002.3,33.8,23.6,18.7,41,21.6,14,4,8
2002,5,48,25,928.1,1002.1,33.2,23.8,19.4,44,22.5,32,4,9
2002,5,48,26,929.5,1003.6,32,24.2,20.6,55,24.3,32,4,9
2002,5,48,27,927.9,1001.6,34.8,24,18.9,39,21.8,32,4,12
2002,5,48,28,927.3,1001.2,35,24.4,19.4,40,22.5,36,4,11
2002,5,48,29,927.6,1001.1,35.2,24.8,20.2,42,23.7,32,4,10
2002,5,48,30,927.5,1001.2,35,24.8,20.3,42,23.8,32,4,11
2002,5,48,31,928.1,1002.1,33.6,24.6,19.6,44,22.8,36,4,7
2002,6,12,1,930.1,1006.3,26,21.8,19.8,68,23.1,32,4,4
2002,6,12,2,930.1,1006.3,26,22.6,21,74,24.9,36,4,5
2002,6,12,3,929.5,1005.5,27,22.6,20.5,68,24.1,32,4,2
2002,6,12,4,929.3,1005.5,25.4,21.4,19.4,69,22.5,27,4,6
2002,6,12,5,929.5,1005.5,27,21.6,18.9,61,21.8,36,4,2
2002,6,12,6,930.2,1006.4,26,21,18.4,63,21.2,32,4,2
2002,6,12,7,929.1,1005.1,27,22,19.6,64,22.8,27,4,4
2002,6,12,8,928.2,1003.7,28,23,20.7,65,24.4,32,4,5
2002,6,12,9,927.6,1004.4,23,22,21.5,91,25.6,32,4,2
2002,6,12,10,927.6,1004.2,23.8,21.8,20.9,84,24.7,32,4,2
2002,6,12,11,927.6,1003.9,24.4,22,20.9,81,24.7,36,4,3
2002,6,12,12,927.4,1003.2,26.4,22,19.9,67,23.2,36,4,2
2002,6,12,13,926.5,1001.9,27.4,22,19.4,62,20.5,32,4,3
2002,6,12,14,927,1003.3,25,22.2,20.9,78,24.7,23,2,3
2002,6,12,15,927.8,1004.1,25,21.2,19.3,71,22.4,23,4,6
2002,6,12,16,928.2,1004.8,24,20.6,18.9,73,21.8,32,6,9
2002,6,12,17,930.8,1007.8,23,21,20,83,23.4,32,4,7
2002,6,12,18,930.1,1006.3,24,21,19.5,76,22.7,32,6,9
2002,6,12,19,925.6,1005.2,23.4,21,19.8,80,23.1,32,6,6
2002,6,12,20,928.3,1004.6,24.4,20.6,18.6,70,21.4,32,4,10
2002,6,12,21,928.2,1004.3,25.4,21.8,20.1,72,23.5,32,4,9
2002,6,12,22,927.6,1003.9,25,21.4,19.6,72,22.8,32,4,7
2002,6,12,23,928.7,1005,25,21.6,19.9,66,23.2,32,4,6
2002,6,12,24,929.2,1005.7,24.8,21.5,19.4,72,22.5,32,4,7
2002,6,12,25,928.8,1005.1,25,21,19,69,22,32,4,5
2002,6,12,26,929.8,1005.8,25,21,19,69,22,32,6,7
2002,6,12,27,931.7,1008.3,25,21,19,69,22,32,4,7
2002,6,12,28,933,1009.3,26.4,21.6,19.2,65,22.2,32,4,4
2002,6,12,29,932.9,1009.3,26,21,18.4,63,21.2,27,4,4
2002,6,12,30,931,1007.2,26,22,20.1,70,23.5,32,4,4
2002,6,48,1,927.1,1002.7,27.6,23,20.9,67,24.7,23,4,10
2002,6,48,2,926.9,1002.5,26.6,23.2,21.7,74,25.9,32,4,6
2002,6,48,3,926.5,999.9,35.2,24.6,19.8,41,23.1,27,4,8
2002,6,48,4,926.5,1001,30.6,23.6,20.4,55,24,32,4,12
2002,6,48,5,925.8,999.4,34.2,24.4,20,43,23.4,32,4,8
2002,6,48,6,926.6,1000.9,32,24,20.4,50,24,32,4,11
2002,6,48,7,926.4,1000.5,33,24.6,20.9,49,24.7,32,4,10
2002,6,48,8,924.4,997.4,34.2,24.6,20.3,44,23.8,32,4,7
2002,6,48,9,924.9,999.3,30.2,24,21.3,59,25.3,27,4,8
2002,6,48,10,925.4,999.8,30.2,24,21.3,59,25.3,32,4,9
2002,6,48,11,925.5,1000.6,28.4,24.2,22.4,70,27.6,36,8,6
2002,6,48,12,925.9,1000.5,30.2,24.4,21.9,61,26.3,36,4,4
2002,6,48,13,925.1,1000.6,27,23.2,21.5,65,25.6,36,6,4
2002,6,48,14,924.9,999.3,31,24,20.9,55,24.7,32,4,9
2002,6,48,15,925.8,1000.7,29.2,24.2,22,65,26.4,32,4,13
2002,6,48,16,926.7,1001.6,29.4,21.4,17.2,48,19.6,32,6,13
2002,6,48,17,926.1,1003.1,30,22,17.9,48,20.5,32,6,11
